AuthorId,PaperIds
731,2180622 1298546 1267992 1201905 964345 688974 24943 
2109,1247551 1817653 613087 359598 1431351 521953 238936 1190322 479485 2099971 2008262 902615 2086862 1771318 
2139,1713884 1500698 1480578 1316625 1153355 338381 236529 
3874,295071 1330214 2076706 677818 1444735 1947503 332726 1481304 99770 1905413 230163 1217760 596902 1988879 1027675 74404 1836547 1371554 2093945 124910 104081 2129699 1794501 1996584 547961 2146991 780442 864676 1574894 1513250 1027766 404557 620553 445073 386914 1071815 982762 684808 715208 1403721 1163134 791469 1432131 1642061 1411365 647374 1797023 1748647 1401481 1942103 1655430 154232 161561 1032225 261646 2143170 1100481 547716 2159776 1976203 1095849 2060413 278790 1452981 1996287 452759 1372505 351251 702695 1297344 1261464 1227402 662496 912907 2084023 372782 518697 432089 1145708 800250 641329 1101415 237192 1320706 1171717 1216789 327666 1244143 193237 202571 151363 1236317 1887279 834456 728803 2002670 589808 1428839 361566 2038483 332419 1787180 985220 2068421 1144610 1351883 1601245 2012539 614999 1519924 1643766 1882558 1053026 650107 288855 1166154 204924 1995704 930242 1079872 1155020 1175936 885751 1291905 1949831 1783051 879933 2037117 1126560 335785 178104 999743 666365 2237666 956102 2126304 1773997 1428706 1016258 1536011 1869712 1817868 258276 2064770 1492743 990946 164486 2202080 2006194 1272320 2057845 1507502 1347708 777754 377520 1955528 1069277 1937018 1975300 765062 306591 1946185 923589 829048 1763820 595892 408273 1829876 2147802 1247773 1800385 773044 603576 438348 1657992 452604 217590 1525364 1164027 519400 511293 2237436 1278685 1708819 820899 303181 1567183 2252269 879469 1737019 313565 2013065 1118797 183847 1257641 759169 578344 138420 
7066,1787468 1327368 887354 1352649 205202 2207535 2187262 2165978 2146172 2095914 1958218 1946381 1792322 1704691 1635431 1629247 1619933 1607553 1462288 1428865 1365722 1365245 1314349 1295585 1221606 1189653 1083827 907259 903273 899780 789241 773836 746727 679698 640681 624386 421974 368790 357299 172152 152036 100255 81797 42119 36457 
12442,920863 1865207 1527902 802601 1618623 1701570 846417 1363795 1872796 1656451 641413 1648339 1306514 2139956 2020329 106864 1363202 1505655 1232230 1003404 1728844 1136934 569543 993448 745330 1572877 1042388 1894550 1244604 1876560 1820623 1690597 2220759 1553440 2133653 1555394 790119 1957549 1771399 721392 240804 1721132 1198238 837295 810376 198826 302826 1705507 1540766 1059642 992174 1845157 1046814 351092 625528 104378 528383 1719429 1283557 418241 136478 660399 900663 1886294 2115328 1753695 1289959 535694 1975156 1488500 776726 2224947 1523222 1272722 1589526 270298 959698 1846808 1397756 2162206 82104 462251 2135312 279237 1317990 519980 1269958 1589316 1294543 1971300 2144561 1378752 808005 1801440 576399 386897 297806 14067 1765963 410047 2235880 1185191 2189862 1325738 796041 
12526,2232421 2232421 2198295 2198295 2144769 2144769 2144769 2144769 2140644 2140644 2140644 2140644 2002462 2002462 1963628 1963628 1947584 1947584 1947584 1947584 1928578 1928578 1900829 1900829 1900829 1900829 1810587 1810587 1798904 1798904 1785232 1785232 1785232 1785232 1760099 1760099 1752078 1692609 1692609 1598021 1598021 1593718 1593718 1591891 1591891 1584954 1584954 1557845 1557845 1557845 1557845 1533541 1533541 1492621 1492621 1476245 1476245 1445279 1445279 1382922 1382922 1275559 1275559 1240435 1240435 1240435 1240435 1186316 1186316 1186316 1186316 1122754 1122754 1081479 1081479 1073507 1059942 1055094 1055094 1055094 1055094 945729 945729 911296 911296 885764 885764 867488 867488 862655 862655 860631 860631 860631 860631 859803 831487 831487 765052 765052 765052 672216 672216 307790 307790 293657 230965 224035 224035 206586 206586 206586 206586 206586 206586 139230 139230 127626 127626 20386 20386 
14475,383365 390131 869175 1380331 1196321 1976922 1316105 1690788 98898 1838271 1633698 562091 76923 2246643 2246643 149493 1032715 1367827 1732821 410954 103126 103126 1196007 2081266 822169 418601 216882 1738886 1622946 1950816 729961 
14957,831176 1951982 1111935 52115 1019256 1729269 1537500 674692 663953 1173252 1230429 171957 2240085 2208005 2188201 2143905 2106579 2094021 2090581 2074206 2063178 2022863 2011788 1990985 1984139 1898441 1889936 1827210 1820544 1775295 1724256 1699458 1668836 1601622 1600031 1491414 1452829 1437432 1397848 1390416 1343171 1332698 1294857 1259077 1251630 1240611 1238031 1237474 1222385 1152768 1137057 1109609 1041097 1010488 931009 926089 919765 906050 895773 884424 856842 800335 789793 762021 757900 737644 714131 671806 623169 580455 446002 431353 395430 395392 373891 309149 298524 266220 257074 250797 209886 200292 142664 129305 125243 124449 111451 106395 57019 31520 27027 17218 
15911,1706344 1648839 638588 596477 362785 283129 109546 
16058,96977 2239154 452561 1968553 1237577 558789 510243 2257378 1246136 1854058 34718 15762 2118610 989783 345392 1899490 760961 1505803 1312435 889542 940836 985225 119842 2178808 1670053 1482461 1766619 1063253 502497 2173690 203465 126244 101881 956725 1164795 51047 1973320 584666 1206447 1229278 1755185 1896810 1314073 1486224 2092515 1940868 1515092 1025534 459470 1610552 1336174 1045118 1336019 455365 1279486 651069 322039 618945 2112381 348862 589901 191623 1823847 627891 557003 263208 511690 868403 1955960 1369537 1025764 563636 1082089 1851830 1696940 612045 1658787 1619413 195118 1393793 1763688 517282 999989 664462 1797959 823622 276132 1779682 1797168 1929060 1435515 2054068 346417 231563 1427890 1808350 715882 2231615 668528 1874875 833036 1683469 578044 2113734 1881169 1649544 75245 1928997 2184777 1155717 70412 1938353 828268 1973845 246114 934626 635318 925451 1881992 2149660 1966397 2039102 1286836 1893397 115744 361824 1609894 2074235 1665460 1555566 544499 1495511 526055 1154940 2096923 443071 1253929 1514915 110720 1713534 852800 1652313 
16642,1781508 1639631 1440332 1188440 729456 651965 283473 
