AuthorId,PaperIds
731,24943 2180622 964345 1267992 1298546 1201905 688974 
2109,479485 238936 1190322 1431351 521953 1817653 613087 902615 1771318 2086862 1247551 359598 2008262 2099971 
2139,338381 1153355 1500698 1316625 236529 1713884 1480578 
3874,791469 261646 820899 829048 1763820 313565 1432131 923589 2147802 1247773 1525364 1100481 1946185 578344 138420 386914 1947503 217590 773044 603576 452604 1574894 1800385 1773997 2252269 1261464 288855 662496 361566 650107 1163134 1955528 295071 1975300 1403721 780442 1996287 2237436 800250 1829876 327666 589808 1244143 124910 1942103 432089 404557 1655430 715208 2159776 1297344 1797023 677818 332726 1452981 596902 864676 1371554 306591 1118797 1095849 834456 1976203 2013065 547716 759169 1444735 1642061 2093945 879469 1145708 702695 1428839 1236317 1372505 728803 202571 151363 511293 1737019 641329 1787180 1996584 1411365 2129699 765062 161561 1216789 1708819 1988879 684808 278790 1905413 1320706 104081 1164027 982762 519400 408273 1217760 1567183 193237 2038483 647374 1071815 2084023 1027766 2146991 1257641 1748647 74404 452759 2143170 1227402 1401481 332419 2060413 547961 154232 230163 1069277 99770 1027675 1657992 1481304 303181 438348 595892 1887279 372782 518697 183847 1330214 2076706 1032225 1171717 351251 912907 620553 1836547 1278685 1428706 985220 885751 335785 2126304 1175936 178104 1016258 1155020 2068421 930242 1882558 1995704 1869712 2064770 2037117 1053026 2237666 1166154 2202080 999743 1519924 1601245 1144610 1817868 1783051 1492743 666365 1643766 2002670 204924 258276 2012539 990946 1536011 1513250 1351883 956102 2006194 377520 1507502 1126560 879933 445073 237192 1949831 164486 1291905 1347708 1937018 2057845 1101415 614999 1079872 1794501 777754 1272320 
7066,1787468 205202 1327368 1352649 887354 1462288 357299 1365245 1704691 36457 773836 746727 1221606 152036 1295585 1619933 1365722 1629247 1083827 1314349 1189653 679698 42119 1428865 2095914 2187262 2146172 907259 789241 172152 903273 1635431 1607553 421974 1958218 899780 1792322 2207535 640681 100255 2165978 368790 1946381 81797 624386 
12442,959698 528383 2224947 810376 386897 1523222 1505655 790119 1572877 2139956 2144561 2220759 1269958 993448 1690597 279237 2135312 1975156 776726 2133653 1845157 1971300 1232230 721392 1957549 240804 1771399 302826 1397756 1540766 2020329 846417 1283557 1801440 1820623 270298 1042388 1648339 1294543 569543 1701570 418241 1378752 1618623 1244604 920863 104378 1488500 82104 1046814 660399 992174 462251 198826 1589526 1198238 1872796 1894550 1306514 576399 535694 1555394 1003404 641413 1656451 2162206 625528 351092 745330 106864 1272722 1289959 1317990 1865207 1753695 1527902 1886294 1363795 1876560 297806 1728844 808005 1589316 1059642 900663 519980 802601 1136934 1705507 1553440 1719429 136478 837295 1846808 1721132 1363202 2115328 14067 1325738 2235880 2189862 1185191 796041 410047 1765963 
12526,831487 765052 1760099 206586 1798904 1593718 1055094 2144769 1240435 1963628 1059942 1533541 2140644 1073507 2232421 139230 672216 860631 1557845 1591891 307790 1598021 1122754 1692609 1947584 862655 1382922 1584954 230965 1810587 1275559 224035 20386 1445279 2002462 1900829 859803 293657 2198295 945729 1476245 1785232 1752078 1492621 127626 1081479 885764 1928578 911296 867488 1186316 
14475,1367827 2246643 1838271 76923 418601 149493 2081266 216882 1380331 729961 1196007 1690788 1633698 1196321 1950816 390131 1976922 822169 103126 1732821 98898 869175 1622946 1032715 410954 1316105 1738886 383365 562091 
14957,1951982 831176 1111935 52115 674692 266220 1019256 31520 2074206 1729269 1537500 663953 1230429 1437432 1173252 2240085 431353 757900 1222385 1668836 1237474 209886 1332698 1491414 919765 2106579 2022863 1041097 884424 789793 2094021 1343171 931009 1775295 57019 1898441 171957 1452829 250797 2188201 395430 762021 1137057 309149 106395 2143905 714131 1889936 906050 2011788 1984139 1827210 926089 373891 1699458 1820544 27027 737644 1109609 580455 200292 1724256 111451 1397848 1601622 2090581 1390416 800335 2063178 1990985 142664 1259077 17218 623169 671806 125243 1010488 446002 1251630 257074 1240611 124449 1600031 895773 298524 129305 1238031 856842 1294857 2208005 395392 1152768 
15911,596477 638588 109546 283129 1706344 1648839 362785 
